,user_name,user_nfollower,user_total_likes,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
1602,mikyeon_z,5855,127.1K,7517683262865542418,Æ°ng chiáº¿c balo nÃ¬ quÃ¡ Äi thoai ð³â¨ð,2025-06-19 22:30:32+07:00,2025-06-26 21:38:01+07:00,00:00,115.8K,2299,52,115,442,"natoli, balo, balonatoli, balodihoc, baloxinh, unboxing, xuhuong, viral, mikyeon, fyp, fypã·ãviral",https://www.tiktok.com/@mikyeon_z/video/7517683262865542418,7.516131717250387e+18,nháº¡c ná»n - XuÃ¢n Nam âª,8 videos,XuÃ¢n Nam âª,False
1603,mikyeon_z,5878,129K,7517683262865542418,ưng chiếc balo nì quá đi thoai 😳✨🍃,2025-06-19 22:30:32+07:00,2025-06-28 09:55:45+07:00,00:00,146.4K,2682,59,142,511,"natoli, balo, balonatoli, balodihoc, baloxinh, unboxing, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7517683262865542418,7.516131717250387e+18,,8 videos,Xuân Nam ♪,False
1604,mikyeon_z,5937,132.8K,7517683262865542418,ưng chiếc balo nì quá đi thoai 😳✨🍃,2025-06-19 22:30:32+07:00,2025-07-01 18:33:54+07:00,00:00,234.3K,3590,72,215,670,"natoli, balo, balonatoli, balodihoc, baloxinh, unboxing, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7517683262865542418,7.516131717250387e+18,nhạc nền - Xuân Nam ♪,7 videos,Xuân Nam ♪,False
1605,mikyeon_z,5878,129K,7520224489452391698,chiếc serum chân ái cho da nhạy cảmmm 🪄🩷✨💫,2025-06-26 18:51:48+07:00,2025-06-28 09:48:02+07:00,00:00,642,41,28,1,5,"skin1004, serumcentella, centellaskin1004, skincare, unboxing, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520224489452391698,7.369167684174351e+18,nhạc nền - biết bài này chưa ?,15.5K videos,biết bài này chưa ?,False
1606,mikyeon_z,5914,131.3K,7520224489452391698,chiếc serum chân ái cho da nhạy cảmmm 🪄🩷✨💫,2025-06-26 18:51:48+07:00,2025-06-30 05:23:50+07:00,00:00,931,43,28,1,5,"skin1004, serumcentella, centellaskin1004, skincare, unboxing, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520224489452391698,7.369167684174351e+18,nhạc nền - biết bài này chưa ?,15.5K videos,biết bài này chưa ?,False
1607,mikyeon_z,5937,132.8K,7520224489452391698,chiếc serum chân ái cho da nhạy cảmmm 🪄🩷✨💫,2025-06-26 18:51:48+07:00,2025-07-01 18:28:01+07:00,00:00,1079,43,28,1,5,"skin1004, serumcentella, centellaskin1004, skincare, unboxing, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520224489452391698,7.369167684174351e+18,nhạc nền - biết bài này chưa ?,15.5K videos,biết bài này chưa ?,False
1608,mikyeon_z,5878,129K,7520490079316479250,Chiếc serum dưỡng trắng chân ái cho hè nàyyyy 🥰✨🌟🌷,2025-06-27 12:02:25+07:00,2025-06-28 09:47:38+07:00,00:00,1675,20,6,1,4,"focalskin, serumbrightening, serumduongtrang, unboxing, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520490079316479250,7.509115179427237e+18,Mưa Của Trời Mây I Anh Khoa Remix,23.9K videos,Anh Khoa🎧,False
1609,mikyeon_z,5914,131.3K,7520490079316479250,Chiếc serum dưỡng trắng chân ái cho hè nàyyyy 🥰✨🌟🌷,2025-06-27 12:02:25+07:00,2025-06-30 05:23:19+07:00,00:00,4738,32,6,1,7,"focalskin, serumbrightening, serumduongtrang, unboxing, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520490079316479250,7.509115179427237e+18,Mưa Của Trời Mây I Anh Khoa Remix,26.3K videos,Anh Khoa🎧,False
1610,mikyeon_z,5937,132.8K,7520490079316479250,Chiếc serum dưỡng trắng chân ái cho hè nàyyyy 🥰✨🌟🌷,2025-06-27 12:02:25+07:00,2025-07-01 18:27:43+07:00,00:00,5128,34,6,1,7,"focalskin, serumbrightening, serumduongtrang, unboxing, xuhuong, viral, mikyeon, fyp, fypシ゚viral",https://www.tiktok.com/@mikyeon_z/video/7520490079316479250,7.509115179427237e+18,Mưa Của Trời Mây I Anh Khoa Remix,27.5K videos,Anh Khoa🎧,False
1611,mikyeon_z,5878,129K,7520521539381398802,tủ đựng mỹ phẩm đa năng vừa xinh vừa tiện lợi còn chống nước nữa 🤩🌟✨💋,2025-06-27 14:04:30+07:00,2025-06-28 09:47:18+07:00,00:00,548,24,17,2,5,"hpicks, tudungmypham, tudungmyphamchongbui, tudungmyphamdantuong, xuhuong, viral, fyp, mikyeon",https://www.tiktok.com/@mikyeon_z/video/7520521539381398802,7.449754476124147e+18,nhạc nền - ngocnhi_0702,18.2K videos,ngocnhi_0702,False
