user_name,user_avg_view_growth,user_avg_like_growth,user_avg_comment_growth,user_avg_share_growth,user_avg_engagement_growth,user_avg_engagement_rate_change
goovietnam,0.0,-0.003690171438662004,-0.0012297770004372354,0.0,-0.00491994843909924,-7.056897608004782e-07
haiphuongbathao,0.21776523380325763,0.0028104360859993434,0.0014052180429996717,0.0,0.004215654128999015,-0.0003132032262222808
halinh_review_dobau,4.389263366824492,0.013260018468405141,0.0,0.0010575296108291039,0.017001711101113606,-0.0003382039288598684
hanhvt0711,1.7536009381325026,0.013445970921045195,0.005490387401395736,0.0,0.01893635832244093,-1.8166696999128567e-06
hanhvu996,1407.4425358288674,4.874322579905071,0.0741570070737599,0.13108127544853546,6.920036907968793,0.008791539685263122
hanmo99,5.579498054426677,0.22507775997002819,0.06969253374530333,0.025617649850419477,0.3460056311330996,-0.003385637064808277
haureview99,15.66171790622271,0.9946087701183514,0.012934413368093972,0.014262505917039986,1.0585113709389273,0.0008647082506267629
hienpunnie,5.003660159589019,0.04978772056574586,0.009933980451568118,0.019608910801375824,0.10142304238664406,-0.0007657211317065178
hieuc0nsau,76.66328385186479,1.9253065694064422,0.024873843165598375,0.007215464111402859,1.9592628409580446,-0.001007935534638155
hloanphxx,102.07605088483444,2.4207780233090115,0.05536167453068395,0.013618864093319383,2.5435743841114724,-0.010401984884051413
hnhung.2911,391.5935666950967,0.8681024085546859,0.0011367080933616246,0.1490556019115528,1.0208879149611965,-0.060956623387531925
hoangannn,0.2382661345361358,0.014734548230477021,0.0,0.0014167650531286956,0.016151313283605716,-4.653205986621609e-05
hoanglut,1.1013335864287606,0.02596278999098811,0.0,0.0,0.02596278999098811,0.00020061022457139115
hoangtrang225,5.261682965812684,0.6154603386138192,0.001195838482082353,0.001195838482082353,0.6190478540600662,-0.0001335479303226734
hoayogi,0.0,0.0,0.0,0.0,0.0,0.0
hung.rv,617.0533918539998,8.998944013812892,0.2586750906944091,0.24092025648777696,10.06493868369045,0.0015136329652942419
huongcom26,4.107963120606924,-0.001251692392422259,0.0,0.0,-0.001251692392422259,0.00014294400426546878
huyenmiko,62.27518583366949,1.1426899242927981,0.023523005068543955,0.03964577828865496,1.5199035053656496,-0.00022624678438867168
huynhtu150797,0.03641879227389503,0.0,0.0,0.0,0.0,-3.3724582677138186e-06
huyquang.2000,0.5221026340301491,0.014660030422593257,-0.0005303818416752792,0.0,0.012958003547456137,-8.030524796280812e-05
iam_vietbo,1.0168864741121726,0.018344531434538267,0.0,0.0,0.022097311272582274,-8.154743285009164e-05
iamjayden94,0.0012470555632534722,0.0,0.0,0.0,0.0,-1.0730680257355538e-06
kamuimammam,218.8336495795458,6.879713112694381,0.10953990435996701,0.13500660265983194,7.573725054388497,-2.885439107904435e-05
kellyhuynh.85,55.29364146513262,22.527277658751792,0.02523718774824989,0.022394955029207225,22.598730868292236,0.0007385580998610814
khangcanreview,89.52534990028542,0.22744580605919248,0.012905528717838162,0.013021873615411461,0.301565685870232,-0.0007225683630441369
khanhhuyen_1311,549.8977831136352,-4.196939820725491,0.015409335159624903,0.0052204162794868975,-4.157395338292795,-0.0031071901054668103
khanhtra243,5.001268537830067,0.016778227045650462,0.0,0.0035549392784214955,0.02339177987946265,-2.4903708169012816e-05
khocongnghe,17.326494710141702,0.6755461108413808,0.06570871259074387,0.08022812654926281,0.9332675542922664,-4.378452472286214e-05
kidkid2908,1.1815887868477835,0.00480123637502967,0.0,0.0,0.00480123637502967,-0.0013612243377701084
kim.luyen_laplalaplanh,269.20842266857056,1.6103245586362132,0.07563585209380563,0.11917612945915805,2.0727332410026875,-0.00014782775007266772
la.nhiday,0.024161633804743406,0.0,0.0,0.0,0.0,-4.230204486342336e-05
lethituyetnghi,30.50122657369211,0.3359148026625258,0.06979888447683769,0.037264131414849674,0.493251175539805,-0.008746807501633798
lieulunglinh9,149.3042744761535,0.06661268161236068,0.24069231331067673,0.0,0.3107944490173302,-0.00038272698353263035
lilymyanhhouse,-66.2766681100814,-0.7439250068619832,0.0023954645870485126,0.0023954645870485126,-0.7358920027599322,0.001993024371291286
linhh_han,4.652425405277072,0.14138986925922964,0.02307463248704022,0.016994278133845134,0.20451312079411438,-0.0017212686104620943
linhhaman1507,1.8419209852377336,0.016798811196966336,0.0026173067046139625,0.020564018774928302,0.041360652989609704,-1.4618990948429598e-06
linhnhim86,-18.018099547421507,-2.5862146220292406,0.017316128149574485,0.08771340233902422,-2.4801768915137563,-9.674397611668677e-06
loctomo9,137.9401852908925,0.6983077119195854,0.03463812862125151,0.10035160048738594,0.9268075394954588,-0.0005766655444225614
loncungdautay245,0.5792967552989088,0.005793762390412904,0.0,0.0,0.005793762390412904,-9.666016947236395e-06
lovely_mother_pig,29.79719588406104,-0.5030783885306305,0.0,0.0,-0.5018685647616261,-0.00012271626041578094
