,user_name,topic
284,pnkhaai_18,['Fashion']
285,po.trann77,['Fashion']
286,ppthaoreview,['Beauty']
287,ptahyew,['beauty']
288,quynh.chia.se,['tech_and_household']
289,quynhmaioanh,['mom_and_baby']
290,quynhphanxt,['Fashion']
291,quynhquynhreview2329,['mom_and_baby']
292,rinabeauty859,['Beauty']
293,rosean_24,['tech_and_household']
294,salimhwg,['Fashion']
295,samsam_m53,['Beauty']
296,sankii220502,['beauty']
297,saovaynghi,['health']
298,sara12102016,['health']
299,shewascalledhaianh,['Beauty']
300,simplemanlegacy,['Fashion']
301,soobin.hoangson_official,['Fashion']
302,sssssoulna,['beauty']
303,storecuaka,['Fashion']
304,susuunbox,['beauty']
305,synaeshy,['Fashion']
306,t.zen_n,['Beauty']
307,tamaianh.94,['Beauty']
308,tamesamsim,"['health', 'mom_and_baby']"
309,tantan_ponpon,['Beauty']
310,taplamreview00,['beauty']
311,tasee_tasee,['beauty']
312,teoemthonha,['tech_and_household']
313,teresa_phuonguyen,['Beauty']
314,tetelinh,['Fashion']
315,thaison0420,['mom_and_baby']
316,thaivanbui,['Fashion']
317,than_ngoc_hue,['Fashion']
318,thanh.pahn,['tech_and_household']
319,thanhanm65,['Fashion']
320,thanhha160822,['mom_and_baby']
321,thanhhieune3,['Fashion']
322,thanhmai081218,"['health', 'mom_and_baby']"
323,thanhnamlx93,['health']
324,thaotien_family24,"['health', 'mom_and_baby']"
325,thaotrinh116133,['Fashion']
326,thaoxing7,['Beauty']
327,thetrinh_review,['tech_and_household']
329,thu.hng3187,['Fashion']
330,thubee26,['Beauty']
331,thuminhkt,['mom_and_baby']
332,thutiensinh68,['tech_and_household']
334,thuyjenjenletsgo,['mom_and_baby']
335,thuylinh.vux,['Fashion']
336,thybui.__,['Beauty']
337,ti_hon11,['Fashion']
338,tiemnhabeubeo,['Beauty']
340,tienmynee,['beauty']
341,tientienreview03,['Fashion']
342,tieubachtho199,"['tech_and_household', 'beauty']"
343,tieuyen5592,['mom_and_baby']
344,tii.nefff,['Beauty']
345,tina_nguyen99,['Fashion']
346,tintinn078,['food']
347,tkienn2204,['Beauty']
348,tkieulunne,['Fashion']
349,tnhadinh,['Beauty']
350,tolatramyday,['health']
351,tom.chutrue,['tech_and_household']
353,trameebui98,['Fashion']
354,tramtram_95,"['health', 'mom_and_baby']"
355,tran_lam18,['Beauty']
356,trang.pham.1703,['mom_and_baby']
357,trangdaisy_review,"['health', 'mom_and_baby', 'tech_and_household']"
360,trucanh.nguyen98,['Fashion']
361,trucdao14.09,['beauty']
362,truong.ngoclan9x,['health']
363,truongshy,['Fashion']
364,ttruc.__,['Fashion']
365,tuanngocday,['tech_and_household']
366,tuannguyen170221,['tech_and_household']
367,tuhuyen2681,['health']
369,tunauan68,['food']
370,tuongot_sieucayyy,['Fashion']
371,tuyetnganoi,['Fashion']
372,tuytching04,['beauty']
374,vbtun05ne,['Beauty']
375,vietthienthu,['Beauty']
376,vuhabangbang,['Beauty']
377,vyiiee03,['beauty']
378,vzy0501,['tech_and_household']
379,whynotchaooo,['Beauty']
380,winnifamily,['mom_and_baby']
382,xinhxinh2414,['health']
383,xunanh_kk,['Beauty']
384,yencunz94,['Fashion']
385,yendan7,['Fashion']
386,yenncd_review,['tech_and_household']
387,yennguyenalicia,['health']
388,yenniiereview,['beauty']
389,yenxu984,['beauty']
390,yeolan__,['Fashion']
391,ynhien2411,"['health', 'tech_and_household']"
